# timestamps [seconds],pts
109721.040550,639068
109721.048533,639591
109721.056765,640130
109721.064641,640646
109721.072569,641166
109721.080517,641687
109721.088550,642213
109721.096449,642731
109721.104502,643259
109721.112510,643783
109721.120786,644326
109721.128483,644830
109721.136580,645361
109721.144483,645879
109721.152523,646406
109721.160461,646926
109721.168555,647456
109721.176444,647973
109721.184518,648502
109721.192694,649038
109721.200539,649552
109721.208490,650073
109721.216688,650611
109721.224561,651127
109721.232816,651668
109721.243044,652338
109721.263493,653678
109721.282120,654899
109721.290774,655466
109721.314170,656999
109721.319004,657316
109721.341036,658760
109721.344545,658990
109721.357213,659820
109721.365339,660353
109721.373780,660906
109721.380636,661355
109721.388566,661875
109721.396628,662403
109721.405421,662979
109721.413940,663538
109721.422374,664090
109721.429190,664537
109721.437495,665081
109721.444590,665546
109721.453339,666120
109721.460606,666596
109721.469022,667147
109721.476488,667637
109721.484627,668170
109721.492528,668688
109721.500560,669214
109721.508548,669738
109721.520515,670522
109721.524879,670808
109721.532619,671315
109721.540671,671843
109721.548545,672359
109721.557260,672930
109721.564933,673433
109721.572549,673932
109721.580609,674460
109721.588665,674988
109721.596537,675504
109721.604506,676026
109721.613171,676594
109721.622568,677210
109721.628491,677598
109721.636839,678145
109721.644794,678667
109721.653116,679212
109721.664075,679930
109721.669470,680284
109721.676942,680773
109721.684775,681287
109721.693702,681872
109721.700601,682324
109721.716646,683375
109721.721850,683717
109721.726636,684030
109721.732513,684415
109721.740800,684958
109721.749509,685529
109721.770347,686895
109721.787037,687989
109721.792594,688353
109721.804982,689165
109721.808745,689411
109721.816529,689921
109721.824711,690458
109721.832468,690966
109721.840541,691495
109721.849102,692056
109721.856553,692544
109721.864618,693073
109721.872790,693608
109721.880495,694113
109721.888746,694654
109721.896627,695171
109721.904609,695694
109721.912495,696210
109721.920515,696736
109721.928612,697267
109721.936656,697794
109721.944538,698310
109721.953009,698866
109721.960595,699363
109721.968531,699883
109721.976567,700409
109721.984635,700938
109721.992571,701458
109722.000943,702007
109722.008530,702504
109722.016759,703043
109722.024972,703582
109722.032546,704078
109722.040764,704617
109722.050737,705270
109722.056719,705662
109722.065353,706228
109722.072906,706723
109722.081276,707272
109722.091134,707918
109722.097519,708336
109722.104834,708815
109722.116211,709561
109722.121274,709893
109722.128711,710380
109722.137728,710971
109722.144621,711423
109722.153169,711983
109722.160907,712490
109722.169646,713063
109722.176675,713523
109722.184523,714038
109722.192910,714587
109722.200736,715100
109722.208477,715608
109722.216527,716135
109722.224802,716677
109722.237082,717482
109722.244558,717972
109722.253055,718529
109722.260481,719016
109722.268598,719548
109722.276577,720071
109722.284546,720593
109722.294139,721221
109722.300886,721664
109722.308588,722168
109722.316578,722692
109722.324760,723228
109722.332480,723734
109722.340507,724260
109722.348577,724789
109722.356527,725310
109722.364611,725840
109722.372587,726363
109722.381791,726966
109722.388559,727409
109722.396568,727934
109722.404480,728453
109722.412530,728980
109722.420504,729503
109722.428623,730035
109722.436624,730559
109722.444626,731084
109722.453081,731638
109722.468887,732674
109722.476706,733186
109722.486559,733832
109722.492668,734232
109722.503300,734929
109722.508536,735272
109722.516576,735799
109722.524626,736326
109722.532562,736847
109722.540659,737377
109722.548896,737917
109722.556548,738418
109722.564596,738946
109722.572605,739471
109722.580575,739993
109722.588594,740519
109722.596606,741044
109722.604547,741564
109722.612467,742083
109722.620675,742621
109722.628926,743162
109722.637134,743700
109722.645022,744217
109722.654415,744832
109722.660471,745229
109722.671171,745930
109722.677827,746366
109722.684597,746810
109722.692513,747329
109722.700510,747853
109722.709693,748455
109722.724187,749405
109722.729754,749770
109722.738370,750334
109722.744533,750738
109722.753560,751330
109722.760633,751793
109722.768735,752324
109722.776944,752862
109722.784831,753379
109722.796019,754112
109722.804485,754667
109722.809746,755012
109722.816653,755464
109722.825278,756030
109722.832571,756508
109722.840768,757045
109722.848617,757559
109722.856653,758086
109722.864493,758600
109722.873218,759171
109722.881109,759689
109722.888537,760175
109722.896638,760706
109722.904977,761253
109722.912675,761757
109722.920895,762296
109722.928862,762818
109722.936917,763346
109722.944762,763860
109722.952701,764380
109722.960584,764897
109722.969310,765469
109722.976685,765952
109722.985448,766526
109722.992496,766988
109723.000473,767511
109723.008774,768055
109723.016460,768559
109723.024603,769092
109723.032674,769621
109723.040505,770135
109723.048504,770659
109723.056651,771193
109723.064506,771707
109723.072453,772228
109723.083806,772972
109723.088549,773283
109723.096475,773803
109723.104780,774347
109723.112552,774856
109723.120497,775377
109723.128870,775926
109723.136495,776425
109723.144457,776947
109723.153024,777509
109723.160532,778001
109723.172615,778792
109723.180543,779312
109723.191971,780061
109723.196720,780372
109723.204478,780881
109723.212556,781410
109723.220554,781934
109723.228718,782469
109723.238634,783119
109723.247720,783714
109723.252935,784056
109723.260587,784558
109723.271935,785301
109723.277829,785688
109723.287466,786319
109723.292547,786652
109723.300594,787180
109723.308822,787719
109723.316571,788227
109723.324848,788769
109723.332963,789301
109723.340604,789802
109723.348877,790344
109723.356695,790856
109723.364769,791385
109723.372605,791899
109723.380846,792439
109723.388540,792943
109723.396589,793471
109723.404622,793997
109723.412509,794514
109723.420738,795053
109723.428644,795571
109723.437033,796121
109723.444524,796612
109723.452908,797161
109723.465131,797962
109723.470441,798310
109723.477170,798751
109723.484888,799257
109723.492512,799757
109723.500494,800280
109723.508481,800803
