# timestamps [seconds],pts
14703.003596,1898810
14703.036973,1900997
14703.069129,1903105
14703.102361,1905283
14703.135994,1907487
14703.169129,1909658
14703.202950,1911875
14703.236379,1914066
14703.269714,1916250
14703.335018,1920530
14703.353730,1921756
14703.362790,1922350
14703.386352,1923894
14703.419728,1926081
14703.453382,1928287
14703.509027,1931934
14703.526549,1933082
14703.559102,1935215
14703.592416,1937398
14703.628748,1939779
14703.660640,1941869
14703.694194,1944068
14703.727350,1946241
14703.760697,1948427
14703.807705,1951507
14703.827417,1952799
14703.860402,1954961
14703.893607,1957137
14703.927665,1959369
14703.960884,1961546
14703.994400,1963742
14704.027611,1965919
14704.060975,1968105
14704.094690,1970315
14704.127568,1972470
14704.161202,1974674
14704.194571,1976861
14704.228021,1979053
14704.261235,1981229
14704.294576,1983414
14704.327885,1985597
14704.361356,1987791
14704.395438,1990024
14704.430702,1992336
14704.505314,1997225
14704.521199,1998266
14704.527720,1998694
14704.552992,2000350
14704.586063,2002517
14704.619322,2004697
14704.652895,2006897
14704.686135,2009075
14704.719725,2011277
14704.753132,2013466
14704.785986,2015619
14704.819323,2017804
14704.852905,2020005
14704.886168,2022184
14704.919458,2024366
14704.952809,2026552
14704.985943,2028723
14705.019350,2030913
14705.053283,2033136
14705.085907,2035274
14705.119232,2037458
14705.152682,2039650
14705.186351,2041857
14705.219865,2044053
14705.253243,2046241
14705.286253,2048404
14705.319712,2050597
14705.352757,2052762
14705.386087,2054947
14705.419943,2057165
14705.455692,2059508
14705.486761,2061544
14705.520559,2063759
14705.554432,2065979
14705.586678,2068092
14705.620376,2070301
14705.666609,2073331
14705.687580,2074705
14705.721513,2076929
14705.771230,2080187
14705.795670,2081789
14705.829441,2084002
14705.861790,2086122
14705.895037,2088301
14705.928285,2090480
14705.971627,2093320
14705.995504,2094885
14706.028688,2097060
14706.062115,2099250
14706.094680,2101384
14706.128357,2103591
14706.161602,2105770
14706.194946,2107955
14706.228456,2110151
14706.261594,2112323
14706.297802,2114696
14706.336029,2117201
14706.361597,2118877
14706.396466,2121162
14706.428508,2123262
14706.461516,2125425
14706.495278,2127637
14706.528417,2129809
14706.561625,2131986
14706.595158,2134183
14706.636653,2136903
14706.667081,2138897
14706.703421,2141278
14706.733381,2143242
14706.766783,2145431
14706.800538,2147643
14706.833831,2149825
14706.867481,2152030
14706.900529,2154196
14706.933759,2156373
14706.967051,2158555
14707.000492,2160747
14707.033690,2162922
14707.067169,2165116
14707.100659,2167311
14707.133667,2169474
14707.167162,2171669
14707.200644,2173864
14707.233904,2176043
14707.267542,2178248
14707.300730,2180423
14707.334091,2182609
14707.367318,2184787
14707.401030,2186996
14707.433736,2189139
14707.467472,2191350
14707.516162,2194541
14707.556830,2197206
14707.587252,2199200
14707.620223,2201361
14707.653709,2203555
14707.687180,2205749
14707.720486,2207932
14707.753770,2210113
14707.786807,2212278
14707.820375,2214478
14707.853773,2216666
14707.886686,2218823
14707.920228,2221022
14707.953254,2223186
14707.987089,2225403
14708.020458,2227590
14708.053647,2229765
14708.087263,2231968
14708.120460,2234144
14708.153588,2236315
14708.187237,2238520
14708.220244,2240683
14708.253685,2242875
14708.287219,2245072
14708.320471,2247252
14708.353566,2249420
14708.387218,2251626
14708.420317,2253795
14708.453718,2255984
14708.487276,2258183
14708.520320,2260349
14708.553681,2262535
14708.587380,2264743
14708.620456,2266911
14708.653619,2269084
14708.687783,2271323
14708.720391,2273460
14708.754081,2275668
14708.787422,2277853
14708.820116,2279996
14708.853384,2282176
14708.886734,2284362
14708.920152,2286552
14708.953395,2288730
14708.986882,2290925
14709.020313,2293116
14709.053651,2295300
14709.087265,2297503
14709.122706,2299826
14709.153691,2301857
14709.187269,2304057
14709.220881,2306260
14709.253882,2308423
14709.287226,2310608
14709.320768,2312806
14709.353999,2314984
14709.387360,2317170
14709.420440,2319338
14709.454241,2321553
14709.487851,2323756
14709.572399,2329297
14709.594149,2330722
14709.626390,2332835
14709.659786,2335024
14709.693693,2337246
14709.726665,2339406
14709.760086,2341597
14709.794020,2343821
14709.826647,2345959
14709.869944,2348796
14709.893690,2350352
14709.926950,2352532
14709.960307,2354718
14709.993880,2356918
14710.028029,2359156
14710.072467,2362069
14710.103632,2364111
14710.137203,2366311
14710.169950,2368457
14710.203181,2370635
14710.236229,2372801
14710.269576,2374986
14710.304021,2377243
14710.336449,2379369
14710.369749,2381551
14710.403161,2383741
14710.436883,2385951
14710.471508,2388220
14710.504377,2390374
14710.537665,2392555
14710.571023,2394741
14710.604410,2396929
14710.637743,2399114
14710.671293,2401313
14710.706932,2403648
14710.770176,2407793
14710.787321,2408917
14710.797306,2409571
14710.820986,2411123
14710.854863,2413343
14710.887512,2415483
14710.920746,2417661
14710.954295,2419859
14710.988461,2422098
14711.021416,2424258
14711.053776,2426379
14711.087058,2428560
14711.121005,2430785
14711.154379,2432972
14711.187654,2435152
14711.220739,2437321
14711.254044,2439503
14711.288318,2441749
14711.321650,2443934
14711.354861,2446110
14711.387986,2448281
14711.421298,2450464
14711.454707,2452654
14711.488429,2454864
14711.521332,2457020
14711.554840,2459216
14711.588379,2461414
14711.621202,2463565
14711.654808,2465767
14711.688897,2468001
14711.724081,2470307
14711.767307,2473140
