world_index,world_timestamp,img_to_surf_trans,surf_to_img_trans,num_detected_markers,dist_img_to_surf_trans,surf_to_dist_img_trans
20,769.042695,"[[ 2.47706658e-03 -2.20132044e-04 -1.09286266e+00]
 [-1.81782285e-04 -4.11430893e-03  1.42045519e+00]
 [-8.06408751e-05 -1.15574155e-04  1.07540503e+00]]","[[ 4.16401153e+02 -3.54825934e+01  4.70028215e+02]
 [-7.91119216e+00 -2.51745810e+02  3.24480346e+02]
 [ 3.03742527e-02 -2.97159264e-02  1.00000000e+00]]",6,"[[ 2.55409510e-03 -1.04483954e-04 -1.17863021e+00]
 [-1.87925569e-04 -4.28446028e-03  1.48446075e+00]
 [-6.54378827e-05  1.26439788e-04  9.89894010e-01]]","[[ 4.03998592e+02  4.15940600e+00  4.74788680e+02]
 [-8.10818575e+00 -2.23593546e+02  3.25650310e+02]
 [ 2.77423739e-02  2.88347065e-02  1.00000000e+00]]"
21,769.076206,"[[ 2.47749270e-03 -2.20508380e-04 -1.09299740e+00]
 [-1.81773611e-04 -4.11513118e-03  1.42001853e+00]
 [-8.01545380e-05 -1.15324896e-04  1.07507653e+00]]","[[ 4.16238078e+02 -3.54765907e+01  4.70035887e+02]
 [-7.97237924e+00 -2.51667080e+02  3.24310054e+02]
 [ 3.01782767e-02 -2.96416940e-02  1.00000000e+00]]",6,"[[ 2.55457225e-03 -1.04737811e-04 -1.17881736e+00]
 [-1.87951506e-04 -4.28553711e-03  1.48411224e+00]
 [-6.49268429e-05  1.26999623e-04  9.89490861e-01]]","[[ 4.03831499e+02  4.20083647e+00  4.74798794e+02]
 [-8.17126915e+00 -2.23497734e+02  3.25483844e+02]
 [ 2.75467450e-02  2.89612327e-02  1.00000000e+00]]"
22,769.143226,"[[ 2.47998204e-03 -2.19007870e-04 -1.09668558e+00]
 [-1.79795389e-04 -4.11386893e-03  1.41631521e+00]
 [-7.71845612e-05 -1.13444644e-04  1.07306084e+00]]","[[ 4.15337226e+02 -3.50939744e+01  4.70801334e+02]
 [-8.16404917e+00 -2.51572006e+02  3.23701927e+02]
 [ 2.90118254e-02 -2.91206318e-02  1.00000000e+00]]",6,"[[ 2.55579447e-03 -1.03224990e-04 -1.18178883e+00]
 [-1.85771423e-04 -4.28395010e-03  1.48012411e+00]
 [-6.33298486e-05  1.29770566e-04  9.87954079e-01]]","[[ 4.03391081e+02  4.68449272e+00  4.75517489e+02]
 [-8.18718160e+00 -2.23390676e+02  3.24883931e+02]
 [ 2.69335912e-02  2.96432832e-02  1.00000000e+00]]"
23,769.210247,"[[ 2.47905351e-03 -2.16980199e-04 -1.09635166e+00]
 [-1.78254655e-04 -4.11251544e-03  1.41335223e+00]
 [-7.78764624e-05 -1.13653357e-04  1.07338542e+00]]","[[ 4.15649330e+02 -3.49339059e+01  4.70540904e+02]
 [-7.94122321e+00 -2.51675232e+02  3.23275655e+02]
 [ 2.93154276e-02 -2.91826805e-02  1.00000000e+00]]",6,"[[ 2.55508671e-03 -1.00786040e-04 -1.18167109e+00]
 [-1.84189748e-04 -4.28326063e-03  1.47731392e+00]
 [-6.38988660e-05  1.30121798e-04  9.88149520e-01]]","[[ 4.03618304e+02  4.94126979e+00  4.75276531e+02]
 [-7.99151653e+00 -2.23421953e+02  3.24466096e+02]
 [ 2.71523913e-02  2.97402439e-02  1.00000000e+00]]"
24,769.277268,"[[ 2.47868253e-03 -2.16946059e-04 -1.09548890e+00]
 [-1.81679177e-04 -4.10834174e-03  1.41639377e+00]
 [-7.83457417e-05 -1.12039563e-04  1.07314404e+00]]","[[ 4.15756572e+02 -3.47807170e+01  4.70318876e+02]
 [-8.21696738e+00 -2.51808148e+02  3.23962004e+02]
 [ 2.94947652e-02 -2.88287450e-02  1.00000000e+00]]",6,"[[ 2.55492694e-03 -1.00973995e-04 -1.18091021e+00]
 [-1.87770296e-04 -4.27826675e-03  1.48023895e+00]
 [-6.39573821e-05  1.31095513e-04  9.87759091e-01]]","[[ 4.03662411e+02  5.02976847e+00  4.75058955e+02]
 [-8.29249036e+00 -2.23580785e+02  3.25140312e+02]
 [ 2.72377137e-02  2.99993478e-02  1.00000000e+00]]"
25,769.344289,"[[ 2.47907233e-03 -2.19484653e-04 -1.09331787e+00]
 [-1.81728994e-04 -4.11484429e-03  1.42104188e+00]
 [-7.97452571e-05 -1.16619520e-04  1.07531547e+00]]","[[ 4.15885460e+02 -3.54966886e+01  4.69757297e+02]
 [-8.01636395e+00 -2.51794481e+02  3.24598763e+02]
 [ 2.99726261e-02 -2.99399060e-02  1.00000000e+00]]",6,"[[ 2.55639494e-03 -1.03649496e-04 -1.17932125e+00]
 [-1.87919169e-04 -4.28506641e-03  1.48510920e+00]
 [-6.42189906e-05  1.25313489e-04  9.89650782e-01]]","[[ 4.03399335e+02  4.11963562e+00  4.74530319e+02]
 [-8.25622306e+00 -2.23642081e+02  3.25767613e+02]
 [ 2.72222432e-02  2.85857688e-02  1.00000000e+00]]"
26,769.41131,"[[ 2.47813357e-03 -2.21246561e-04 -1.09273767e+00]
 [-1.82844062e-04 -4.11396834e-03  1.42193137e+00]
 [-7.99348629e-05 -1.14281978e-04  1.07467790e+00]]","[[ 4.16073900e+02 -3.54308012e+01  4.69945266e+02]
 [-8.09313248e+00 -2.51660253e+02  3.24748409e+02]
 [ 3.00870716e-02 -2.93970759e-02  1.00000000e+00]]",6,"[[ 2.55541865e-03 -1.05717724e-04 -1.17862396e+00]
 [-1.89044599e-04 -4.28404330e-03  1.48596693e+00]
 [-6.44124102e-05  1.27324579e-04  9.89080364e-01]]","[[ 4.03597847e+02  4.14902534e+00  4.74708421e+02]
 [-8.32145064e+00 -2.23532644e+02  3.25913108e+02]
 [ 2.73549412e-02  2.90456160e-02  1.00000000e+00]]"
27,769.44482,"[[ 2.47766511e-03 -2.22315631e-04 -1.09231039e+00]
 [-1.84717098e-04 -4.11544909e-03  1.42314394e+00]
 [-8.07067606e-05 -1.16459278e-04  1.07574753e+00]]","[[ 4.16247465e+02 -3.57856412e+01  4.69998336e+02]
 [-8.19041878e+00 -2.51733068e+02  3.24709935e+02]
 [ 3.03418167e-02 -2.99371308e-02  1.00000000e+00]]",6,"[[ 2.55486729e-03 -1.06741932e-04 -1.17815843e+00]
 [-1.90957356e-04 -4.28559702e-03  1.48721962e+00]
 [-6.52212149e-05  1.25381510e-04  9.90105798e-01]]","[[ 4.03815883e+02  3.83184470e+00  4.74757642e+02]
 [-8.39323497e+00 -2.23596762e+02  3.25873187e+02]
 [ 2.76634265e-02  2.85674694e-02  1.00000000e+00]]"
28,769.511841,"[[ 2.47943652e-03 -2.22027457e-04 -1.09285998e+00]
 [-1.82468962e-04 -4.11527483e-03  1.42199917e+00]
 [-7.89140247e-05 -1.15739383e-04  1.07465909e+00]]","[[ 4.15648641e+02 -3.56392096e+01  4.69846390e+02]
 [-8.18778113e+00 -2.51687615e+02  3.24709003e+02]
 [ 2.96399655e-02 -2.97234752e-02  1.00000000e+00]]",6,"[[ 2.55699752e-03 -1.06385189e-04 -1.17893009e+00]
 [-1.88634171e-04 -4.28563346e-03  1.48610302e+00]
 [-6.31365457e-05  1.25969783e-04  9.88915573e-01]]","[[ 4.03093791e+02  3.94442825e+00  4.74618446e+02]
 [-8.44528093e+00 -2.23549531e+02  3.25873358e+02]
 [ 2.68109842e-02  2.87279566e-02  1.00000000e+00]]"
29,769.578862,"[[ 2.47625368e-03 -2.20473406e-04 -1.09209040e+00]
 [-1.85271545e-04 -4.11034825e-03  1.42282172e+00]
 [-8.10659702e-05 -1.12620029e-04  1.07469615e+00]]","[[ 4.16585810e+02 -3.52215691e+01  4.69959230e+02]
 [-8.19720837e+00 -2.51752680e+02  3.24972864e+02]
 [ 3.05646977e-02 -2.90385936e-02  1.00000000e+00]]",6,"[[ 2.55332006e-03 -1.05141859e-04 -1.17781929e+00]
 [-1.91539446e-04 -4.27992064e-03  1.48675090e+00]
 [-6.56812658e-05  1.28821752e-04  9.89167116e-01]]","[[ 4.04185567e+02  4.35926550e+00  4.74718991e+02]
 [-8.38615417e+00 -2.23626865e+02  3.26133030e+02]
 [ 2.79303045e-02  2.94129538e-02  1.00000000e+00]]"
