# timestamps [seconds],pts
782.949511,997031
783.016532,1001423
783.083553,1005815
783.150574,1010207
783.184084,1012403
783.251105,1016796
783.318126,1021188
783.385146,1025580
783.452167,1029972
783.519188,1034364
783.552698,1036561
783.619719,1040953
783.686740,1045345
783.753761,1049737
783.820782,1054129
783.887802,1058522
783.954823,1062914
784.021844,1067306
784.055354,1069502
784.122375,1073894
784.189396,1078287
784.256417,1082679
784.323438,1087071
784.390458,1091463
784.457479,1095855
784.524500,1100248
784.591521,1104640
784.658542,1109032
784.725562,1113424
784.792583,1117816
784.859604,1122209
784.926625,1126601
784.960135,1128797
785.027156,1133189
785.127687,1139777
785.194708,1144170
785.261729,1148562
785.328750,1152954
785.395770,1157346
785.462791,1161739
785.529812,1166131
785.596833,1170523
785.630343,1172719
785.697364,1177111
785.764385,1181503
785.831406,1185896
785.898426,1190288
785.965447,1194680
786.032468,1199072
786.099489,1203465
786.132999,1205661
786.200020,1210053
786.267041,1214445
786.334062,1218837
786.401082,1223229
786.468103,1227622
786.501614,1229818
786.568634,1234210
786.635655,1238602
786.702676,1242994
786.769697,1247387
786.836718,1251779
786.903738,1256171
786.970759,1260563
787.004270,1262759
787.071290,1267151
787.138311,1271544
787.205332,1275936
787.272353,1280328
787.339374,1284720
787.406394,1289113
787.473415,1293505
787.540436,1297897
787.607457,1302289
787.674478,1306681
787.707988,1308877
787.775009,1313270
787.842030,1317662
787.909050,1322054
787.976071,1326446
788.009582,1328642
788.076602,1333035
788.143623,1337427
788.210644,1341819
788.277665,1346211
788.344686,1350603
788.411706,1354996
788.478727,1359388
788.545748,1363780
788.612769,1368172
788.679790,1372565
788.713300,1374761
788.780321,1379153
788.847342,1383545
788.914362,1387937
788.981383,1392329
789.048404,1396722
789.115425,1401114
789.148935,1403310
789.215956,1407702
789.282977,1412094
789.349998,1416487
789.417018,1420879
789.484039,1425271
789.551060,1429663
789.584570,1431859
789.651591,1436252
789.718612,1440644
789.785633,1445036
789.852654,1449428
789.919674,1453820
789.986695,1458213
790.053716,1462605
790.087226,1464801
790.154247,1469193
790.221268,1473585
790.288289,1477978
790.355310,1482370
790.422330,1486762
790.489351,1491154
790.556372,1495546
790.623393,1499939
790.656903,1502135
790.723924,1506527
790.790945,1510919
790.857966,1515311
790.891476,1517507
790.958497,1521900
791.025518,1526292
791.092538,1530684
791.159559,1535076
791.193070,1537272
791.260090,1541665
791.327111,1546057
791.394132,1550449
791.461153,1554841
791.494663,1557037
791.561684,1561429
791.662215,1568018
791.729236,1572410
791.762746,1574606
791.863278,1581194
791.930298,1585587
791.997319,1589979
792.064340,1594371
792.131361,1598763
792.164871,1600959
792.231892,1605352
792.298913,1609744
792.399444,1616332
792.466465,1620724
792.533486,1625117
792.566996,1627313
792.634017,1631705
792.701038,1636097
792.768058,1640489
792.835079,1644881
792.902100,1649274
792.969121,1653666
793.002631,1655862
793.069652,1660254
793.136673,1664646
793.203694,1669039
793.270714,1673431
793.337735,1677823
793.404756,1682215
793.471777,1686607
793.538798,1691000
793.572308,1693196
793.639329,1697588
793.706350,1701980
793.773370,1706372
793.840391,1710765
793.907412,1715157
793.974433,1719549
794.041454,1723941
794.108474,1728333
794.175495,1732726
794.242516,1737118
794.309537,1741510
794.376558,1745902
794.443578,1750294
794.477089,1752491
794.544110,1756883
794.611130,1761275
794.678151,1765667
794.745172,1770059
794.778682,1772255
794.845703,1776648
794.912724,1781040
794.979745,1785432
795.046766,1789824
795.113786,1794216
795.147297,1796413
795.214318,1800805
795.281338,1805197
795.348359,1809589
795.415380,1813981
795.482401,1818374
795.549422,1822766
795.616442,1827158
795.716974,1833746
795.783994,1838139
795.851015,1842531
795.918036,1846923
795.985057,1851315
796.152609,1862296
796.219630,1866688
796.286650,1871080
796.320161,1873276
796.387182,1877668
796.454202,1882061
796.521223,1886453
796.588244,1890845
796.655265,1895237
796.688775,1897433
796.755796,1901826
796.822817,1906218
796.889838,1910610
796.956858,1915002
796.990369,1917198
797.057390,1921591
797.124410,1925983
797.191431,1930375
797.224942,1932571
797.291962,1936963
797.358983,1941355
797.426004,1945748
797.459514,1947944
797.526535,1952336
797.593556,1956728
797.660577,1961120
797.727598,1965513
797.794618,1969905
797.861639,1974297
797.928660,1978689
797.995681,1983081
798.062702,1987474
798.096212,1989670
798.163233,1994062
798.230254,1998454
798.297274,2002846
798.330785,2005042
798.397806,2009435
798.464826,2013827
798.531847,2018219
798.598868,2022611
798.632378,2024807
798.699399,2029200
798.766420,2033592
798.833441,2037984
798.900462,2042376
798.967482,2046768
799.000993,2048965
799.068014,2053357
799.135034,2057749
799.202055,2062141
799.269076,2066533
799.336097,2070926
799.403118,2075318
799.470138,2079710
799.537159,2084102
799.570670,2086298
799.637690,2090691
799.704711,2095083
799.771732,2099475
799.838753,2103867
799.872263,2106063
799.939284,2110455
800.006305,2114848
800.073326,2119240
800.106836,2121436
800.173857,2125828
800.240878,2130220
