Time_stamp,temperature
1603462738.5,33.68
1603462738.75,33.68
1603462739.0,33.71
1603462739.25,33.71
1603462739.5,33.71
1603462739.75,33.71
1603462740.0,33.66
1603462740.25,33.66
1603462740.5,33.66
1603462740.75,33.66
1603462741.0,33.68
1603462741.25,33.68
1603462741.5,33.68
1603462741.75,33.68
1603462742.0,33.68
1603462742.25,33.68
1603462742.5,33.68
1603462742.75,33.68
1603462743.0,33.66
1603462743.25,33.66
1603462743.5,33.66
1603462743.75,33.66
1603462744.0,33.68
1603462744.25,33.68
1603462744.5,33.68
1603462744.75,33.68
1603462745.0,33.68
1603462745.25,33.68
1603462745.5,33.68
1603462745.75,33.68
1603462746.0,33.66
1603462746.25,33.66
1603462746.5,33.66
1603462746.75,33.66
1603462747.0,33.66
1603462747.25,33.66
1603462747.5,33.66
1603462747.75,33.66
1603462748.0,33.68
1603462748.25,33.68
1603462748.5,33.68
1603462748.75,33.68
1603462749.0,33.68
1603462749.25,33.68
1603462749.5,33.68
1603462749.75,33.68
1603462750.0,33.66
1603462750.25,33.66
1603462750.5,33.66
1603462750.75,33.66
1603462751.0,33.68
1603462751.25,33.68
1603462751.5,33.68
1603462751.75,33.68
1603462752.0,33.71
1603462752.25,33.71
1603462752.5,33.71
1603462752.75,33.71
1603462753.0,33.68
1603462753.25,33.68
1603462753.5,33.68
1603462753.75,33.68
1603462754.0,33.66
1603462754.25,33.66
1603462754.5,33.66
1603462754.75,33.66
1603462755.0,33.66
1603462755.25,33.66
1603462755.5,33.66
1603462755.75,33.66
1603462756.0,33.66
1603462756.25,33.66
1603462756.5,33.66
1603462756.75,33.66
1603462757.0,33.68
1603462757.25,33.68
1603462757.5,33.68
1603462757.75,33.68
1603462758.0,33.68
1603462758.25,33.68
1603462758.5,33.68
1603462758.75,33.68
1603462759.0,33.68
1603462811.0,33.66
1603462811.25,33.66
1603462811.5,33.66
1603462811.75,33.66
1603462812.0,33.66
1603462812.25,33.66
1603462812.5,33.66
1603462812.75,33.66
1603462813.0,33.66
1603462813.25,33.66
1603462813.5,33.66
1603462813.75,33.66
1603462814.0,33.66
1603462814.25,33.66
1603462814.5,33.66
1603462814.75,33.66
1603462815.0,33.68
1603462815.25,33.68
1603462815.5,33.68
1603462815.75,33.68
1603462816.0,33.66
1603462816.25,33.66
1603462816.5,33.66
1603462816.75,33.66
1603462817.0,33.68
1603462817.25,33.68
1603462817.5,33.68
1603462817.75,33.68
1603462818.0,33.68
1603462818.25,33.68
1603462818.5,33.68
1603462818.75,33.68
1603462819.0,33.68
1603462819.25,33.68
1603462819.5,33.68
1603462819.75,33.68
1603462820.0,33.68
1603462820.25,33.68
1603462820.5,33.68
1603462820.75,33.68
1603462821.0,33.68
1603462821.25,33.68
1603462821.5,33.68
1603462821.75,33.68
1603462822.0,33.66
1603462822.25,33.66
1603462822.5,33.66
1603462822.75,33.66
1603462823.0,33.68
1603462823.25,33.68
1603462823.5,33.68
1603462823.75,33.68
1603462824.0,33.66
1603462824.25,33.66
1603462824.5,33.66
1603462824.75,33.66
1603462825.0,33.68
1603462825.25,33.68
1603462825.5,33.68
1603462825.75,33.68
1603462826.0,33.68
1603462826.25,33.68
1603462826.5,33.68
1603462826.75,33.68
1603462827.0,33.68
1603462827.25,33.68
1603462827.5,33.68
1603462827.75,33.68
1603462828.0,33.66
1603462828.25,33.66
1603462828.5,33.66
1603462828.75,33.66
1603462829.0,33.68
1603462829.25,33.68
1603462829.5,33.68
1603462829.75,33.68
1603462830.0,33.66
1603462830.25,33.66
1603462830.5,33.66
1603462830.75,33.66
1603462831.0,33.66
1603462831.25,33.66
1603462831.5,33.66
1603462831.75,33.66
1603462832.0,33.66
1603462832.25,33.66
1603462832.5,33.66
1603462832.75,33.66
1603462833.0,33.66
1603462833.25,33.66
1603462833.5,33.66
1603462833.75,33.66
1603462834.0,33.68
1603462834.25,33.68
1603462834.5,33.68
1603462834.75,33.68
1603462835.0,33.68
1603462835.25,33.68
1603462835.5,33.68
1603462835.75,33.68
1603462836.0,33.68
1603462836.25,33.68
1603462836.5,33.68
1603462836.75,33.68
1603462837.0,33.66
1603462837.25,33.66
1603462837.5,33.66
1603462837.75,33.66
1603462838.0,33.66
1603462838.25,33.66
1603462838.5,33.66
1603462838.75,33.66
1603462839.0,33.66
1603462839.25,33.66
1603462839.5,33.66
1603462839.75,33.66
1603462840.0,33.66
1603462840.25,33.66
1603462840.5,33.66
1603462840.75,33.66
1603462841.0,33.68
1603462841.25,33.68
1603462841.5,33.68
1603462841.75,33.68
1603462842.0,33.66
