# timestamps [seconds],pts
92328.663892,259415
92328.668714,259731
92328.683215,260681
92328.692516,261291
92328.708104,262312
92328.712552,262604
92328.723769,263339
92328.732859,263935
92328.740760,264453
92328.748262,264944
92328.756776,265502
92328.765079,266046
92328.773846,266621
92328.784745,267335
92328.789968,267677
92328.807031,268796
92328.814745,269301
92328.825027,269975
92328.830831,270355
92328.838914,270885
92328.852848,271798
92328.875536,273285
92328.893335,274452
92328.900710,274935
92328.909305,275498
92328.917857,276059
92328.927253,276674
92328.934857,277173
92328.944063,277776
92328.949663,278143
92328.956972,278622
92328.964262,279100
92328.973921,279733
92328.991864,280909
92328.999939,281438
92329.014595,282398
92329.021328,282840
92329.033724,283652
92329.041608,284169
92329.046248,284473
92329.054050,284984
92329.064344,285659
92329.072308,286181
92329.077079,286493
92329.084193,286959
92329.093336,287559
92329.100607,288035
92329.108975,288584
92329.116340,289066
92329.124258,289585
92329.133937,290219
92329.140408,290644
92329.150515,291306
92329.156281,291684
92329.164217,292204
92329.175032,292913
92329.180583,293276
92329.192510,294058
92329.203687,294791
92329.212302,295355
92329.217417,295690
92329.225109,296194
92329.232152,296656
92329.240302,297190
92329.248164,297705
92329.258601,298389
92329.265274,298827
92329.273396,299359
92329.280322,299813
92329.288866,300373
92329.296454,300870
92329.304391,301390
92329.313271,301972
92329.321239,302494
92329.331626,303175
92329.336781,303513
92329.352496,304543
92329.358632,304945
92329.381874,306468
92329.389926,306996
92329.398345,307547
92329.408743,308229
92329.416887,308763
92329.427098,309432
92329.433271,309836
92329.441769,310393
92329.450398,310959
92329.457066,311396
92329.464665,311894
92329.473550,312476
92329.480389,312924
92329.488382,313448
92329.496298,313967
92329.504438,314500
92329.512556,315032
92329.520257,315537
92329.528172,316056
92329.536179,316580
92329.544322,317114
92329.552701,317663
92329.562647,318315
92329.568244,318682
92329.576483,319222
92329.584266,319732
92329.592442,320268
92329.601189,320841
92329.608742,321336
92329.622596,322244
92329.626953,322529
92329.642018,323517
92329.648384,323934
92329.657176,324510
92329.668199,325232
92329.677200,325822
92329.684357,326291
92329.692350,326815
92329.700249,327333
92329.708634,327882
92329.716298,328384
92329.725049,328958
92329.732247,329430
92329.740788,329989
92329.748236,330478
92329.758061,331121
92329.764321,331532
92329.773750,332150
92329.781996,332690
92329.788284,333102
92329.796426,333636
92329.809552,334496
92329.817399,335010
92329.829768,335821
92329.846348,336907
92329.858007,337671
92329.885828,339495
92329.903547,340656
92329.909942,341075
92329.916357,341495
92329.929396,342350
92329.956551,344129
92329.974028,345275
92329.992787,346504
92329.999708,346958
92330.011845,347753
92330.018934,348218
92330.034111,349212
92330.040023,349600
92330.052049,350388
92330.061389,351000
92330.075122,351900
92330.080990,352285
92330.090818,352929
92330.098506,353432
92330.110370,354210
92330.116220,354593
92330.125061,355173
92330.136588,355928
92330.144315,356435
92330.152245,356954
92330.160535,357498
92330.168578,358025
92330.179222,358722
92330.185171,359112
92330.195060,359760
92330.202211,360229
92330.208676,360652
92330.216214,361146
92330.224452,361686
92330.232213,362195
92330.240308,362725
92330.248839,363285
92330.259921,364011
92330.268818,364594
92330.273250,364884
92330.280777,365378
92330.289671,365960
92330.296875,366433
92330.305262,366982
92330.315348,367643
92330.320961,368011
92330.329282,368556
92330.336599,369036
92330.344407,369548
92330.352237,370061
92330.361418,370662
92330.368523,371128
92330.386468,372304
92330.392318,372687
92330.407072,373654
92330.411844,373967
92330.424582,374802
92330.432618,375329
92330.441837,375933
92330.448193,376349
92330.456346,376884
92330.464993,377450
92330.472845,377965
92330.480226,378449
92330.488390,378984
92330.496191,379495
92330.504508,380040
92330.512639,380573
92330.521885,381179
92330.528278,381598
92330.536582,382142
