Time_stamp,Electrodermal_activity
70.75,0.544304
71.0,0.544304
71.25,0.545584
71.5,0.544304
71.75,0.543023
72.0,0.543023
72.25,0.543023
72.5,0.544304
72.75,0.543023
73.0,0.543023
73.25,0.543023
73.5,0.544304
73.75,0.543023
74.0,0.544304
74.25,0.543023
74.5,0.544304
74.75,0.544304
75.0,0.544304
75.25,0.544304
75.5,0.544304
75.75,0.544304
76.0,0.544304
76.25,0.544304
76.5,0.545584
76.75,0.544304
77.0,0.543023
77.25,0.543023
77.5,0.544304
77.75,0.544304
78.0,0.545584
78.25,0.543023
78.5,0.544304
78.75,0.544304
79.0,0.544304
79.25,0.544304
79.5,0.543023
79.75,0.543023
80.0,0.543023
80.25,0.545584
80.5,0.545584
80.75,0.544304
81.0,0.544304
81.25,0.543023
81.5,0.545584
81.75,0.545584
82.0,0.545584
82.25,0.543023
82.5,0.543023
82.75,0.545584
83.0,0.544304
83.25,0.545584
83.5,0.543023
83.75,0.544304
84.0,0.545584
84.25,0.545584
84.5,0.545584
84.75,0.545584
85.0,0.545584
85.25,0.544304
85.5,0.545584
85.75,0.546865
86.0,0.546865
86.25,0.544304
86.5,0.544304
86.75,0.546865
87.0,0.545584
87.25,0.546865
87.5,0.544304
87.75,0.545584
88.0,0.546865
88.25,0.544304
88.5,0.546865
88.75,0.546865
89.0,0.546865
89.25,0.545584
89.5,0.546865
89.75,0.548146
90.0,0.548146
90.25,0.546865
90.5,0.546865
90.75,0.550707
91.0,0.549426
91.25,0.549426
91.5,0.548146
91.75,0.548146
92.0,0.549426
92.25,0.549426
92.5,0.550707
92.75,0.549426
93.0,0.548146
93.25,0.549426
93.5,0.551988
93.75,0.549426
94.0,0.551988
94.25,0.549426
94.5,0.549426
94.75,0.549426
95.0,0.549426
95.25,0.551988
95.5,0.549426
95.75,0.550707
96.0,0.549426
96.25,0.550707
96.5,0.548146
96.75,0.550707
97.0,0.549426
97.25,0.549426
97.5,0.550707
97.75,0.550707
98.0,0.550707
98.25,0.549426
98.5,0.549426
98.75,0.550707
99.0,0.550707
99.25,0.550707
99.5,0.550707
99.75,0.550707
100.0,0.549426
100.25,0.550707
100.5,0.549426
100.75,0.550707
101.0,0.548146
101.25,0.548146
101.5,0.549426
101.75,0.550707
102.0,0.550707
102.25,0.548146
102.5,0.549426
102.75,0.549426
103.0,0.549426
103.25,0.550707
103.5,0.549426
103.75,0.548146
104.0,0.549426
104.25,0.549426
104.5,0.549426
104.75,0.550707
105.0,0.550707
105.25,0.548146
105.5,0.550707
105.75,0.550707
106.0,0.551988
106.25,0.548146
106.5,0.548146
106.75,0.549426
107.0,0.549426
107.25,0.549426
107.5,0.549426
107.75,0.549426
108.0,0.548146
108.25,0.550707
108.5,0.550707
108.75,0.549426
109.0,0.548146
109.25,0.548146
109.5,0.550707
109.75,0.550707
110.0,0.550707
110.25,0.548146
110.5,0.548146
110.75,0.548146
111.0,0.549426
111.25,0.549426
111.5,0.549426
111.75,0.548146
112.0,0.549426
112.25,0.550707
112.5,0.551988
112.75,0.550707
113.0,0.548146
113.25,0.549426
113.5,0.550707
113.75,0.550707
114.0,0.550707
114.25,0.548146
114.5,0.549426
114.75,0.549426
115.0,0.549426
115.25,0.549426
115.5,0.549426
115.75,0.548146
116.0,0.550707
116.25,0.550707
116.5,0.550707
116.75,0.550707
117.0,0.549426
117.25,0.549426
117.5,0.551988
117.75,0.558391
118.0,0.551988
118.25,0.549426
118.5,0.549426
118.75,0.551988
119.0,0.551988
119.25,0.551988
119.5,0.551988
119.75,0.550707
120.0,0.551988
120.25,0.553268
120.5,0.553268
120.75,0.553268
121.0,0.550707
121.25,0.550707
121.5,0.551988
121.75,0.553268
122.0,0.553268
122.25,0.550707
122.5,0.551988
122.75,0.550707
123.0,0.550707
123.25,0.550707
123.5,0.551988
123.75,0.550707
124.0,0.550707
124.25,0.551988
124.5,0.551988
124.75,0.551988
125.0,0.549426
125.25,0.549426
125.5,0.549426
125.75,0.550707
126.0,0.550707
126.25,0.551988
126.5,0.550707
126.75,0.549426
127.0,0.551988
127.25,0.551988
127.5,0.551988
127.75,0.549426
128.0,0.549426
128.25,0.551988
128.5,0.551988
128.75,0.553268
129.0,0.551988
129.25,0.550707
129.5,0.551988
129.75,0.553268
130.0,0.554549
130.25,0.553268
130.5,0.553268
130.75,0.550707
131.0,0.551988
131.25,0.553268
131.5,0.553268
131.75,0.551988
132.0,0.551988
132.25,0.549426
132.5,0.553268
132.75,0.553268
133.0,0.553268
133.25,0.551988
133.5,0.553268
133.75,0.553268
134.0,0.553268
134.25,0.562234
134.5,0.553268
134.75,0.553268
135.0,0.550707
135.25,0.554549
135.5,0.553268
135.75,0.553268
136.0,0.551988
136.25,0.551988
136.5,0.553268
136.75,0.554549
137.0,0.554549
137.25,0.553268
137.5,0.553268
137.75,0.550707
138.0,0.553268
138.25,0.554549
138.5,0.554549
138.75,0.551988
139.0,0.551988
139.25,0.553268
139.5,0.553268
139.75,0.554549
140.0,0.551988
140.25,0.551988
140.5,0.551988
140.75,0.554549
141.0,0.553268
141.25,0.554549
141.5,0.551988
141.75,0.553268
142.0,0.554549
142.25,0.554549
142.5,0.554549
