Time_stamp,Value
1603462632.5625,-10.69
1603462632.578125,-13.15
1603462632.59375,-15.12
1603462632.609375,-16.74
1603462632.625,-18.37
1603462632.640625,-20.42
1603462632.65625,-23.26
1603462632.671875,-27.02
1603462632.6875,-31.60
1603462632.703125,-36.63
1603462632.71875,-41.50
1603462632.734375,-45.36
1603462632.75,-47.25
1603462632.765625,-46.30
1603462632.78125,-41.96
1603462632.796875,-34.26
1603462632.8125,-23.89
1603462632.828125,-12.06
1603462632.84375,-0.16
1603462632.859375,10.57
1603462632.875,19.33
1603462632.890625,25.79
1603462632.90625,30.00
1603462632.921875,32.15
1603462632.9375,32.45
1603462632.953125,31.08
1603462632.96875,28.30
1603462632.984375,24.52
1603462633.0,20.36
1603462633.015625,16.52
1603462633.03125,13.65
1603462633.046875,12.16
1603462633.0625,12.10
1603462633.078125,13.20
1603462633.09375,15.03
1603462633.109375,17.14
1603462633.125,19.21
1603462633.140625,21.06
1603462633.15625,22.51
1603462633.171875,23.41
1603462633.1875,23.57
1603462633.203125,22.84
1603462633.21875,21.18
1603462633.234375,18.71
1603462633.25,15.64
1603462633.265625,12.24
1603462633.28125,8.75
1603462633.296875,5.41
1603462633.3125,2.35
1603462633.328125,-0.33
1603462633.34375,-2.66
1603462633.359375,-4.74
1603462633.375,-6.72
1603462633.390625,-8.74
1603462633.40625,-10.81
1603462633.421875,-12.89
1603462633.4375,-14.85
1603462633.453125,-16.62
1603462633.46875,-18.24
1603462633.484375,-19.84
1603462633.5,-21.62
1603462633.515625,-23.80
1603462633.53125,-26.57
1603462633.546875,-30.05
1603462633.5625,-34.15
1603462633.578125,-38.51
1603462633.59375,-42.42
1603462633.609375,-44.91
1603462633.625,-45.00
1603462633.640625,-41.99
1603462633.65625,-35.73
1603462633.671875,-26.71
1603462633.6875,-15.92
1603462633.703125,-4.58
1603462633.71875,6.20
1603462633.734375,15.55
1603462633.75,22.97
1603462633.765625,28.17
1603462633.78125,31.07
1603462633.796875,31.74
1603462633.8125,30.41
1603462633.828125,27.51
1603462633.84375,23.62
1603462633.859375,19.44
1603462633.875,15.64
1603462633.890625,12.75
1603462633.90625,11.11
1603462633.921875,10.81
1603462633.9375,11.77
1603462633.953125,13.75
1603462633.96875,16.43
1603462633.984375,19.44
1603462634.0,22.35
1603462634.015625,24.72
1603462634.03125,26.19
1603462634.046875,26.52
1603462634.0625,25.66
1603462634.078125,23.72
1603462634.09375,20.94
1603462634.109375,17.61
1603462634.125,14.00
1603462634.140625,10.35
1603462634.15625,6.83
1603462634.171875,3.56
1603462634.1875,0.61
1603462634.203125,-2.01
1603462634.21875,-4.32
1603462634.234375,-6.44
1603462634.25,-8.51
1603462634.265625,-10.70
1603462634.28125,-13.11
1603462634.296875,-15.77
1603462634.3125,-18.61
1603462634.328125,-21.44
1603462634.34375,-24.07
1603462634.359375,-26.35
1603462634.375,-28.31
1603462634.390625,-30.12
1603462634.40625,-32.08
1603462634.421875,-34.54
1603462634.4375,-37.76
1603462634.453125,-41.82
1603462634.46875,-46.51
1603462634.484375,-51.24
1603462634.5,-55.07
1603462634.515625,-56.94
1603462634.53125,-55.88
1603462634.546875,-51.33
1603462634.5625,-43.38
1603462634.578125,-32.75
1603462634.59375,-20.61
1603462634.609375,-8.29
1603462634.625,3.05
1603462634.640625,12.64
1603462634.65625,20.09
1603462634.671875,25.36
1603462634.6875,28.58
1603462634.703125,29.92
1603462634.71875,29.60
1603462634.734375,27.89
1603462634.75,25.18
1603462634.765625,21.99
1603462634.78125,18.89
1603462634.796875,16.45
1603462634.8125,15.06
1603462634.828125,14.86
1603462634.84375,15.74
1603462634.859375,17.40
1603462634.875,19.46
1603462634.890625,21.58
1603462634.90625,23.47
1603462634.921875,24.93
1603462634.9375,25.84
1603462634.953125,26.15
1603462634.96875,25.87
1603462634.984375,25.03
1603462635.0,23.69
1603462635.015625,21.87
1603462635.03125,19.66
1603462635.046875,17.15
1603462635.0625,14.49
1603462635.078125,11.86
1603462635.09375,9.42
1603462635.109375,7.25
1603462635.125,5.33
1603462635.140625,3.54
1603462635.15625,1.73
1603462635.171875,-0.18
1603462635.1875,-2.22
1603462635.203125,-4.30
1603462635.21875,-6.32
1603462635.234375,-8.20
1603462635.25,-9.96
1603462635.265625,-11.67
1603462635.28125,-13.47
1603462635.296875,-15.51
1603462635.3125,-17.80
1603462635.328125,-20.28
1603462635.34375,-22.77
1603462635.359375,-25.07
1603462635.375,-27.06
1603462635.390625,-28.77
1603462635.40625,-30.37
1603462635.421875,-32.17
1603462635.4375,-34.50
1603462635.453125,-37.63
1603462635.46875,-41.67
1603462635.484375,-46.45
1603462635.5,-51.48
1603462635.515625,-55.94
1603462635.53125,-58.77
1603462635.546875,-58.96
1603462635.5625,-55.82
1603462635.578125,-49.20
