Time_stamp,temperature
-2077357.5,29.63
-2077357.25,29.63
-2077357.0,29.65
-2077356.75,29.65
-2077356.5,29.65
-2077356.25,29.65
-2077356.0,29.65
-2077355.75,29.65
-2077355.5,29.65
-2077355.25,29.65
-2077355.0,29.65
-2077354.75,29.65
-2077354.5,29.65
-2077354.25,29.65
-2077354.0,29.63
-2077353.75,29.63
-2077353.5,29.63
-2077353.25,29.63
-2077353.0,29.67
-2077352.75,29.67
-2077352.5,29.67
-2077352.25,29.67
-2077352.0,29.69
-2077351.75,29.69
-2077351.5,29.69
-2077351.25,29.69
-2077351.0,29.65
-2077350.75,29.65
-2077350.5,29.65
-2077350.25,29.65
-2077350.0,29.67
-2077349.75,29.67
-2077349.5,29.67
-2077349.25,29.67
-2077349.0,29.69
-2077348.75,29.69
-2077348.5,29.69
-2077348.25,29.69
-2077348.0,29.69
-2077347.75,29.69
-2077347.5,29.69
-2077347.25,29.69
-2077347.0,29.69
-2077346.75,29.69
-2077346.5,29.69
-2077346.25,29.69
-2077346.0,29.69
-2077345.75,29.69
-2077345.5,29.69
-2077345.25,29.69
-2077345.0,29.69
-2077344.75,29.69
-2077344.5,29.69
-2077344.25,29.69
-2077344.0,29.67
-2077343.75,29.67
-2077343.5,29.67
-2077343.25,29.67
-2077343.0,29.69
-2077342.75,29.69
-2077342.5,29.69
-2077342.25,29.69
-2077342.0,29.71
-2077341.75,29.71
-2077341.5,29.71
-2077341.25,29.71
-2077341.0,29.71
-2077340.75,29.71
-2077340.5,29.71
-2077340.25,29.71
-2077340.0,29.71
-2077339.75,29.71
-2077339.5,29.71
-2077339.25,29.71
-2077339.0,29.71
-2077338.75,29.71
-2077338.5,29.71
-2077338.25,29.71
-2077338.0,29.73
-2077337.75,29.73
-2077337.5,29.73
-2077337.25,29.73
-2077337.0,29.73
-2077336.75,29.73
-2077336.5,29.73
-2077336.25,29.73
-2077336.0,29.73
-2077335.75,29.73
-2077335.5,29.73
-2077335.25,29.73
-2077335.0,29.71
-2077334.75,29.71
-2077334.5,29.71
-2077334.25,29.71
-2077334.0,29.71
-2077333.75,29.71
-2077333.5,29.71
-2077333.25,29.71
-2077333.0,29.73
-2077332.75,29.73
-2077332.5,29.73
-2077332.25,29.73
-2077332.0,29.73
-2077331.75,29.73
-2077331.5,29.73
-2077331.25,29.73
-2077331.0,29.71
-2077330.75,29.71
-2077330.5,29.71
-2077330.25,29.71
-2077330.0,29.77
-2077329.75,29.77
-2077329.5,29.77
-2077329.25,29.77
-2077329.0,29.77
-2077328.75,29.77
-2077328.5,29.77
-2077328.25,29.77
-2077328.0,29.77
-2077327.75,29.77
-2077327.5,29.77
-2077327.25,29.77
-2077327.0,29.75
-2077326.75,29.75
-2077326.5,29.75
-2077326.25,29.75
-2077326.0,29.75
-2077325.75,29.75
-2077325.5,29.75
-2077325.25,29.75
-2077325.0,29.77
-2077324.75,29.77
-2077324.5,29.77
-2077324.25,29.77
-2077324.0,29.75
-2077323.75,29.75
-2077323.5,29.75
-2077323.25,29.75
-2077323.0,29.77
-2077322.75,29.77
-2077322.5,29.77
-2077322.25,29.77
-2077322.0,29.79
-2077321.75,29.79
-2077321.5,29.79
-2077321.25,29.79
-2077321.0,29.79
-2077320.75,29.79
-2077320.5,29.79
-2077320.25,29.79
-2077320.0,29.79
-2077319.75,29.79
-2077319.5,29.79
-2077319.25,29.79
-2077319.0,29.77
-2077318.75,29.77
-2077318.5,29.77
-2077318.25,29.77
-2077318.0,29.81
-2077317.75,29.81
-2077317.5,29.81
-2077317.25,29.81
-2077317.0,29.79
-2077316.75,29.79
-2077316.5,29.79
-2077316.25,29.79
-2077316.0,29.79
-2077315.75,29.79
-2077315.5,29.79
-2077315.25,29.79
-2077315.0,29.79
-2077314.75,29.79
-2077314.5,29.79
-2077314.25,29.79
-2077314.0,29.81
-2077313.75,29.81
-2077313.5,29.81
-2077313.25,29.81
-2077313.0,29.83
-2077312.75,29.83
-2077312.5,29.83
-2077312.25,29.83
-2077312.0,29.81
-2077311.75,29.81
-2077311.5,29.81
-2077311.25,29.81
-2077311.0,29.81
-2077310.75,29.81
-2077310.5,29.81
-2077310.25,29.81
-2077310.0,29.81
-2077309.75,29.81
-2077309.5,29.81
-2077309.25,29.81
-2077309.0,29.81
-2077308.75,29.81
-2077308.5,29.81
-2077308.25,29.81
-2077308.0,29.85
-2077307.75,29.85
-2077307.5,29.85
-2077307.25,29.85
