Time_stamp,X,Y,Z
1603462591.875,17,27,53
1603462591.90625,17,27,54
1603462591.9375,17,27,54
1603462591.96875,17,27,53
1603462592.0,17,27,54
1603462592.03125,17,26,54
1603462592.0625,17,27,54
1603462592.09375,17,27,54
1603462592.125,17,27,54
1603462592.15625,17,26,54
1603462592.1875,17,27,54
1603462592.21875,17,27,54
1603462592.25,17,27,54
1603462592.28125,17,26,54
1603462592.3125,17,27,54
1603462592.34375,17,27,53
1603462592.375,17,27,53
1603462592.40625,17,27,54
1603462592.4375,17,27,54
1603462592.46875,17,27,54
1603462592.5,17,27,54
1603462592.53125,17,27,54
1603462592.5625,17,27,53
1603462592.59375,17,26,53
1603462592.625,17,27,53
1603462592.65625,17,27,54
1603462592.6875,17,26,54
1603462592.71875,17,26,53
1603462592.75,17,27,53
1603462592.78125,17,27,54
1603462592.8125,17,26,54
1603462592.84375,17,27,54
1603462592.875,17,26,54
1603462592.90625,17,27,54
1603462592.9375,17,27,54
1603462592.96875,17,26,53
1603462593.0,17,27,54
1603462593.03125,17,27,54
1603462593.0625,17,27,54
1603462593.09375,17,26,54
1603462593.125,17,26,54
1603462593.15625,17,27,54
1603462593.1875,17,27,54
1603462593.21875,17,27,54
1603462593.25,17,27,54
1603462593.28125,17,26,54
1603462593.3125,17,26,54
1603462593.34375,17,27,54
1603462593.375,17,27,54
1603462593.40625,17,27,54
1603462593.4375,17,26,53
1603462593.46875,17,27,54
1603462593.5,17,27,54
1603462593.53125,17,27,53
1603462593.5625,17,26,53
1603462593.59375,17,27,54
1603462593.625,17,27,53
1603462593.65625,17,27,53
1603462593.6875,17,27,53
1603462593.71875,17,26,53
1603462593.75,17,27,53
1603462593.78125,17,27,54
1603462593.8125,17,26,54
1603462593.84375,17,27,53
1603462593.875,17,26,54
1603462593.90625,17,26,54
1603462593.9375,17,27,54
1603462593.96875,17,26,54
1603462594.0,17,27,54
1603462594.03125,17,27,53
1603462594.0625,17,26,53
1603462594.09375,17,27,53
1603462594.125,17,26,53
1603462594.15625,17,26,54
1603462594.1875,17,26,54
1603462594.21875,17,27,53
1603462594.25,17,26,54
1603462594.28125,17,26,54
1603462594.3125,17,27,54
1603462594.34375,17,27,53
1603462594.375,17,27,54
1603462594.40625,17,27,53
1603462594.4375,17,26,54
1603462594.46875,17,27,54
1603462594.5,17,26,54
1603462594.53125,17,27,54
1603462594.5625,17,27,53
1603462594.59375,17,26,53
1603462594.625,17,27,53
1603462594.65625,17,27,53
1603462594.6875,17,27,53
1603462594.71875,17,27,53
1603462594.75,17,27,53
1603462594.78125,17,27,54
1603462594.8125,17,27,54
1603462594.84375,17,27,54
1603462594.875,17,27,54
1603462594.90625,17,27,53
1603462594.9375,17,27,53
1603462594.96875,18,27,54
1603462595.0,17,27,54
1603462595.03125,17,26,54
1603462595.0625,18,27,54
1603462595.09375,17,27,53
1603462595.125,17,27,53
1603462595.15625,18,26,53
1603462595.1875,18,26,54
1603462595.21875,19,26,53
1603462595.25,18,27,53
1603462595.28125,17,26,54
1603462595.3125,17,26,53
1603462595.34375,17,26,53
1603462595.375,17,27,54
1603462595.40625,17,27,54
1603462595.4375,17,27,53
1603462595.46875,18,26,54
1603462595.5,17,27,54
1603462595.53125,17,27,53
1603462595.5625,18,26,53
1603462595.59375,18,27,53
1603462595.625,17,27,53
1603462595.65625,18,27,53
1603462595.6875,17,26,54
1603462595.71875,18,26,53
1603462595.75,18,26,53
1603462595.78125,18,27,54
1603462595.8125,18,26,53
1603462595.84375,18,26,53
1603462595.875,18,26,53
1603462595.90625,18,26,53
1603462595.9375,18,26,54
1603462595.96875,18,26,54
1603462596.0,17,26,53
1603462596.03125,18,26,54
1603462596.0625,18,26,54
1603462596.09375,18,26,53
1603462596.125,18,26,53
1603462596.15625,18,26,53
1603462596.1875,18,26,53
1603462596.21875,18,26,54
1603462596.25,18,26,53
1603462596.28125,18,26,53
1603462596.3125,18,26,53
1603462596.34375,18,26,53
